ID,Gender,Age,Customer Type,Type of Travel,Class,Flight Distance,Departure Delay,Arrival Delay,Departure and Arrival Time Convenience,Ease of Online Booking,Check-in Service,Online Boarding,Gate Location,On-board Service,Seat Comfort,Leg Room Service,Cleanliness,Food and Drink,In-flight Service,In-flight Wifi Service,In-flight Entertainment,Baggage Handling,Satisfaction
103045,Male,23,First-time,Business,Economy,546,0,0.0,4,3,4,3,3,3,2,1,2,2,3,3,2,4,Neutral or Dissatisfied
43283,Male,38,Returning,Business,Economy,531,0,0.0,1,1,2,5,1,2,5,2,5,5,3,5,5,1,Satisfied
65544,Male,33,Returning,Business,Business,237,0,3.0,3,3,3,4,3,3,4,4,4,4,5,3,4,4,Satisfied
65084,Male,68,Returning,Personal,Economy,224,0,0.0,3,4,4,4,2,2,1,2,1,1,5,4,1,3,Satisfied
76497,Male,27,First-time,Business,Business,516,7,0.0,5,5,3,5,1,4,1,3,4,4,5,5,4,4,Satisfied
78320,Female,56,Returning,Business,Business,1547,0,0.0,4,4,1,4,4,3,3,2,3,3,3,3,3,3,Neutral or Dissatisfied
43713,Female,27,Returning,Personal,Economy,257,0,0.0,1,1,4,1,2,2,1,3,1,1,3,1,1,2,Neutral or Dissatisfied
8093,Female,60,Returning,Business,Business,125,0,2.0,1,4,4,5,4,4,4,4,5,3,4,4,4,4,Satisfied
105254,Male,23,Returning,Business,Business,2106,219,190.0,3,3,1,1,3,1,1,4,1,1,4,1,1,3,Neutral or Dissatisfied
71028,Male,31,Returning,Business,Business,2110,0,0.0,1,4,4,4,4,5,4,5,4,4,5,4,4,4,Satisfied
124441,Male,19,Returning,Personal,Economy Plus,1262,0,0.0,4,4,3,4,3,4,1,2,1,1,5,3,1,3,Neutral or Dissatisfied
84667,Female,25,First-time,Business,Economy,1043,1,4.0,2,2,1,2,3,2,4,5,4,4,3,2,4,3,Neutral or Dissatisfied
59706,Female,13,Returning,Personal,Economy,861,0,21.0,5,3,3,3,3,3,2,3,2,2,4,2,2,4,Neutral or Dissatisfied
106915,Female,26,Returning,Business,Business,1259,0,0.0,5,5,5,5,5,4,5,2,5,5,5,5,5,5,Satisfied
20207,Female,55,Returning,Personal,Business,179,0,0.0,5,3,3,5,2,2,4,3,4,2,2,3,2,2,Neutral or Dissatisfied
